City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
74,murudeshwara,14.0943,74.4845,25.310000000000002,83,84,1.7,IN,1726524740
75,port hedland,-20.3167,118.5667,23.03000000000003,25,0,5.14,AU,1726524741
76,tynda,55.1667,124.7167,3.660000000000025,84,100,5.17,RU,1726524743
77,afaahiti,-17.75,-149.2833,24.230000000000018,86,50,5.54,PF,1726524350
78,northam,51.0333,-4.2167,13.210000000000036,77,24,2.67,GB,1726524745
79,vorgashor,67.5833,63.95,12.270000000000039,95,99,3.42,RU,1726524747
80,xuddur,4.1213,43.8894,22.939999999999998,78,17,7.19,SO,1726524748
81,narasannapeta,18.4167,84.05,25.83000000000004,81,99,2.59,IN,1726524749
82,poshekhon'ye,58.4993,39.1353,13.710000000000036,80,67,1.74,RU,1726524750
83,bredasdorp,-34.5322,20.0403,8.430000000000007,87,0,1.11,ZA,1726524340
84,pointe-noire,-4.7761,11.8635,25.04000000000002,83,75,3.09,CG,1726524753
85,iqaluit,63.7506,-68.5145,2.8500000000000227,86,100,9.77,CA,1726524280
86,nar'yan-mar,67.6713,53.087,13.890000000000043,80,90,3.79,RU,1726524755
87,weno,7.4515,151.8468,28.970000000000027,84,100,2.57,FM,1726524756
88,campoverde,-8.4753,-74.8058,30.83000000000004,43,40,2.42,PE,1726524757
89,tura,25.5198,90.2201,23.510000000000048,91,98,1.27,IN,1726524758
90,torres,-29.3353,-49.7269,15.700000000000045,87,0,1.1,BR,1726524759
91,east london,-33.0153,27.9116,17.58000000000004,73,100,0.1,ZA,1726524501
92,ta`u,-14.2336,-169.5144,26.510000000000048,75,44,3.85,AS,1726524762
93,klyuchi,52.2667,79.1667,4.3799999999999955,69,50,3.39,RU,1726524266
94,murghob,38.1702,73.9667,4.520000000000039,57,84,1.94,TJ,1726524764
95,acarau,-2.8856,-40.12,25.470000000000027,77,0,7.89,BR,1726524446
96,leava,-14.3,-178.1667,26.460000000000036,79,95,3.14,WF,1726524766
97,arraial do cabo,-22.9661,-42.0278,21.620000000000005,91,64,7.96,BR,1726524768
98,ushuaia,-54.8,-68.3,9.810000000000002,53,40,6.17,AR,1726524272
99,urangan,-25.3,152.9,17.07000000000005,76,6,4.57,AU,1726524770
100,patong,7.8961,98.2966,26.120000000000005,99,100,10.49,TH,1726524772
101,hirara,24.8,125.2833,28.860000000000014,79,2,9.29,JP,1726524773
102,ust-nera,64.5667,143.2,2.390000000000043,74,100,2.77,RU,1726524357
103,olonkinbyen,70.9221,-8.7187,0.9800000000000182,78,100,3.67,SJ,1726524364
104,saint-philippe,-21.3585,55.7679,20.80000000000001,78,43,6.12,RE,1726524412
105,kaya,13.0917,-1.0844,26.78000000000003,75,37,3.33,BF,1726524777
106,egilsstadir,65.2653,-14.3948,8.950000000000045,76,100,2.06,IS,1726524335
107,aykol,38.1751,77.2132,19.730000000000018,36,1,3.73,CN,1726524779
108,vilyuysk,63.7553,121.6247,-0.07999999999998408,86,80,4.31,RU,1726524780
109,wailua homesteads,22.0669,-159.378,29.439999999999998,78,75,7.2,US,1726524420
110,remire-montjoly,4.9167,-52.2667,29.02000000000004,74,0,3.09,GF,1726524416
111,okha,53.5739,142.9478,11.970000000000027,83,100,2.41,RU,1726524784
112,kapuskasing,49.4169,-82.4331,29.05000000000001,54,75,8.75,CA,1726524278
113,benguela,-12.5763,13.4055,21.720000000000027,88,94,1.51,AO,1726524786
114,quibala,-10.7337,14.98,21.04000000000002,78,89,1.03,AO,1726524787
115,boulsa,12.6675,-0.5758,26.170000000000016,79,32,2.77,BF,1726524788
116,hawaiian paradise park,19.5933,-154.9731,29.370000000000005,78,75,5.14,US,1726524383
117,meadow lake,34.8014,-106.5436,27.400000000000034,23,14,9.16,US,1726524792
118,laboulaye,-34.1266,-63.3912,23.410000000000025,17,62,5.97,AR,1726524793
119,le port,-20.9373,55.2919,20.980000000000018,65,52,2.73,RE,1726524794
120,isafjordur,66.0755,-23.124,2.57000000000005,92,100,3.26,IS,1726524301
121,altay,47.8667,88.1167,8.689999999999998,50,57,2.08,CN,1726524796
122,port elizabeth,-33.918,25.5701,13.160000000000025,92,40,1.03,ZA,1726524294
123,songea,-10.6833,35.65,16.900000000000034,60,1,2.06,TZ,1726524798
124,plastun,44.7561,136.2939,14.520000000000039,79,44,2.13,RU,1726524799
125,margaret river,-33.95,115.0667,11.470000000000027,74,0,1.75,AU,1726524238
126,rouissat,31.9243,5.3502,31.04000000000002,33,75,4.12,DZ,1726524802
127,inirida,3.8653,-67.9239,24.850000000000023,88,22,1.55,CO,1726524803
128,greenville,35.6127,-77.3663,23.010000000000048,98,100,5.14,US,1726524804
129,dunedin,-45.8742,170.5036,5.4500000000000455,67,37,3.13,NZ,1726524041
130,el abiodh sidi cheikh,32.893,0.5484,22.49000000000001,51,87,2.91,DZ,1726524806
131,rawai,7.7797,98.3253,26.100000000000023,99,100,11.9,TH,1726524807
132,torrelodones,40.5765,-3.9266,20.110000000000014,33,21,1.82,ES,1726524808
133,fale old settlement,-9.3852,-171.2468,27.260000000000048,78,48,2.57,TK,1726524371
134,nioro du rip,13.75,-15.8,24.900000000000034,88,97,1.97,SN,1726524810
135,cova figueira,14.8905,-24.2934,20.439999999999998,81,60,4.33,CV,1726524812
136,kachkanar,58.7,59.4948,10.930000000000007,95,4,1.41,RU,1726524813
137,umm kaddadah,13.6017,26.6876,28.480000000000018,53,97,5.41,SD,1726524814
138,hilo,19.7297,-155.09,29.410000000000025,82,75,5.14,US,1726524816
139,thompson,55.7435,-97.8558,21.090000000000032,46,20,1.54,CA,1726524284
140,kavieng,-2.5744,150.7967,28.78000000000003,76,18,4.89,PG,1726524818
141,kuanda,56.3161,116.0806,-0.2599999999999909,86,4,0.69,RU,1726524819
142,papao,-17.75,-149.55,27.82000000000005,82,37,5.1,PF,1726524820
143,balaguer,41.7912,0.8109,19.120000000000005,42,2,2.75,ES,1726524823
144,ancud,-41.8697,-73.8203,9.360000000000014,73,62,2.58,CL,1726524772
145,balkashino,52.5167,68.7667,3.8500000000000227,76,0,3.1,KZ,1726524336
146,san patricio,28.017,-97.5169,32.97000000000003,46,0,5.47,US,1726524826
147,qaqortoq,60.7167,-46.0333,4.57000000000005,84,100,1.33,GL,1726524434
148,bafoulabe,13.8065,-10.8321,24.30000000000001,94,100,2.19,ML,1726524828
149,hammerfest,70.6634,23.6821,9.25,81,0,0.0,NO,1726524331
150,puerto ayora,-0.7393,-90.3518,20.860000000000014,97,89,2.24,EC,1726524290
151,mili,6.0815,171.735,28.49000000000001,71,39,2.37,MH,1726524832
152,mulino,56.2892,42.9201,13.800000000000011,70,13,2.01,RU,1726524833
153,khyzy,40.9058,49.0813,15.439999999999998,46,82,1.95,AZ,1726524834
154,howard springs,-12.497,131.047,22.950000000000045,94,57,3.28,AU,1726524835
155,utrik,11.2278,169.8474,28.360000000000014,76,71,4.56,MH,1726524448
156,tadine,-21.55,167.8833,22.100000000000023,47,32,7.59,NC,1726524682
157,hushitai,41.9322,123.5114,17.99000000000001,73,99,1.08,CN,1726524838
158,vila franca do campo,37.7167,-25.4333,23.230000000000018,77,59,1.75,PT,1726524314
159,severo-yeniseyskiy,60.3725,93.0408,-0.12000000000000455,82,100,1.53,RU,1726524841
160,kingston,17.997,-76.7936,32.53000000000003,70,20,9.26,JM,1726524842
161,talnakh,69.4865,88.3972,2.400000000000034,95,67,2.77,RU,1726524843
162,sao vicente,-23.9631,-46.3919,17.189999999999998,26,100,0.89,BR,1726524844
163,funafuti,-8.5243,179.1942,28.0,94,75,0.0,TV,1726524845
164,palmer,42.1584,-72.3287,24.730000000000018,52,21,0.84,US,1726524672
165,kiunga,-6.1219,141.2906,24.110000000000014,95,99,1.61,PG,1726524847
166,rongelap,11.1635,166.8941,28.33000000000004,75,10,3.71,MH,1726524458
167,poquoson,37.1224,-76.3458,24.0,84,100,9.77,US,1726524849
168,severnoye,56.3491,78.3619,2.140000000000043,86,17,1.69,RU,1726524851
169,doka,13.5167,35.7667,19.840000000000032,96,100,6.48,SD,1726524852
170,kruisfontein,-34.0033,24.7314,9.740000000000009,85,0,1.31,ZA,1726524853
171,santiago,-33.4569,-70.6483,22.689999999999998,35,75,4.47,CL,1726524854
172,west island,-12.1568,96.8225,25.99000000000001,65,39,7.2,CC,1726524310
173,mount isa,-20.7333,139.5,20.870000000000005,23,57,4.12,AU,1726524355
174,aasiaat,68.7098,-52.8699,-0.22999999999996135,84,88,1.63,GL,1726524565
175,andirin,37.5776,36.3549,16.129999999999995,96,100,1.15,TR,1726524859
176,santa cruz,-17.8,-63.1667,27.03000000000003,41,20,3.09,BO,1726524861
177,ulladulla,-35.35,150.4667,12.920000000000016,54,7,1.73,AU,1726524862
178,suoyarvi,62.0833,32.35,11.470000000000027,63,56,0.61,RU,1726524863
179,keflavik,64.0049,-22.5624,9.240000000000009,100,100,5.66,IS,1726524864
180,la foa,-21.7108,165.8276,21.170000000000016,48,67,6.93,NC,1726524865
181,tres lagoas,-20.7511,-51.6783,26.30000000000001,51,62,5.46,BR,1726524866
182,lethbridge,49.7,-112.8186,23.27000000000004,43,20,2.06,CA,1726524867
183,ola,59.5833,151.2833,3.6299999999999955,95,100,2.59,RU,1726524868
184,ramnicu sarat,45.3833,27.05,14.480000000000018,58,6,2.19,RO,1726524869
